"id","order_timestamp","cost","payment_method","delivery_person_id"
1,"2023-09-10 12:30:00",550.00,Credit Card,1
2,"2023-09-09 19:45:00",720.50,Cash,2
3,"2023-09-08 15:15:00",450.75,Debit Card,3
4,"2023-09-08 17:30:00",640.00,Cash,1
5,"2023-09-07 19:15:00",780.50,Credit Card,2
6,"2023-09-06 20:45:00",410.25,Debit Card,3
7,"2023-09-05 22:00:00",550.00,Cash,1
8,"2023-09-04 10:30:00",320.50,Credit Card,2
9,"2023-09-03 12:45:00",370.75,Cash,3
10,"2023-09-02 14:00:00",480.00,Debit Card,1
11,"2023-09-01 16:15:00",600.50,Credit Card,2
12,"2023-08-31 18:30:00",420.75,Cash,3
13,"2023-08-30 20:45:00",730.00,Cash,1
14,"2023-08-29 23:00:00",580.50,Credit Card,2
15,"2023-08-28 09:15:00",495.25,Debit Card,3
16,"2023-08-27 11:30:00",670.00,Cash,1
17,"2023-08-26 13:45:00",725.50,Credit Card,2
18,"2023-08-25 15:00:00",420.75,Cash,3
19,"2023-08-24 17:15:00",510.00,Debit Card,1
20,"2023-08-23 19:30:00",640.50,Cash,2
21,"2023-08-22 21:45:00",385.25,Credit Card,3
22,"2023-08-21 10:00:00",730.00,Cash,1
23,"2023-08-20 12:15:00",480.50,Credit Card,2
24,"2023-08-20 14:30:00",490.00,Credit Card,3
25,"2023-08-19 16:45:00",380.50,Cash,2
26,"2023-08-18 19:00:00",410.25,Debit Card,1
27,"2023-08-17 21:15:00",620.00,Cash,3
28,"2023-08-16 23:30:00",530.50,Credit Card,2
29,"2023-08-15 08:45:00",370.75,Cash,1
30,"2023-08-14 11:00:00",540.00,Debit Card,3
31,"2023-08-13 13:15:00",420.50,Cash,2
32,"2023-08-12 15:30:00",610.75,Credit Card,1
33,"2023-08-11 17:45:00",520.00,Cash,3
34,"2023-08-10 20:00:00",380.50,Debit Card,2
35,"2023-08-09 22:15:00",450.75,Credit Card,1
36,"2023-08-08 08:30:00",660.00,Cash,3
37,"2023-08-07 10:45:00",590.50,Cash,2
38,"2023-08-06 13:00:00",420.75,Credit Card,1
39,"2023-08-05 15:15:00",550.00,Debit Card,3
40,"2023-08-04 17:30:00",440.50,Cash,2
41,"2023-08-03 19:45:00",680.75,Credit Card,1
42,"2023-08-02 22:00:00",590.00,Cash,3
43,"2023-08-01 10:15:00",480.50,Debit Card,2
44,"2023-07-31 12:30:00",540.00,Credit Card,1
45,"2023-07-30 14:45:00",420.75,Cash,3
46,"2023-07-29 17:00:00",620.00,Cash,2
47,"2023-07-28 19:15:00",560.50,Debit Card,1
48,"2023-07-27 21:30:00",390.75,Credit Card,3
49,"2023-07-26 23:45:00",490.00,Cash,2
